dialogue_id,service,turn_id,speaker,utterance,state
1,training_request,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, tell me a bit about what kind of training you're looking for. What will you guys be learning about and do you need any special accommodations?"", ""Employee: We're hoping to improve our machine learning research skills. But no special accommodations are needed."", 'HR Assistant: Great, how many people will be attending this training? And approximately how long do you think it should last?  ', ""Employee: Three people will be participating and we'd like it to run for two days."", 'HR Assistant: Okay, thanks. Do you have a budget in mind for this? It would also help to know what your goals are for your team after the training.', 'Employee: Our budget is $5000. We want to come away with better research skills.', 'HR Assistant: No problem, when works best for your schedule? Also, do you have a preference for how the training is delivered, like online or in-person?', ""Employee: We're hoping for some online seminars on June 15th, 2023."", ""HR Assistant: Sounds good. One last thing - would you say your team's current skill level is beginner, intermediate or advanced? And can you provide the contact info for the person coordinating it all?"", 'Employee: Their level is intermediate. The coordinator is Henry Kim and you can reach him at hkim@researchlab.com or 555-1234.']","[{'training_topic': 'machine learning', 'special_requirements': 'no special accommodations are needed'}, {'number_of_participants': 'Three', 'training_duration': 'two days'}, {'budget_constraints': '$5000', 'desired_training_outcomes': 'better research skills'}, {'preferred_training_dates': 'June 15th, 2023', 'preferred_training_format': 'online seminars'}, {'current_skill_level': 'intermediate', 'contact_information': 'hkim@researchlab.com or 555-1234'}]"
5,performance_review,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, what time period are we looking at here? If you could provide the start and end dates in YYYY-MM-DD format that would be great.', ""Employee: The time period we're reviewing is the past year."", 'HR Assistant: Okay, great. On a scale of 1 to 5, with 5 being the highest, how would you rate your overall performance during that time?', 'Employee: I would rate my overall performance as a 4.  ', 'HR Assistant: Thanks for providing that rating. Are there any areas you think you could improve on? Also, could you tell me your name so I have it on the review?', 'Employee: Two areas I think I could improve on are time management. My name is Amir Khaled.', 'HR Assistant: No problem, thanks for that information. On the same 1 to 5 scale, how well do you feel you achieved the goals that were set for you? And is there any additional training you feel would be beneficial?', 'Employee: I achieved my set goals at a level of 4. Additional training in pastry skills would be helpful.', ""HR Assistant: Great, it's good to set goals and work towards achieving them. Could you describe any leadership qualities you've shown? And what is your job role?"", 'Employee: I mentor junior chefs. My role is chef.  ', 'HR Assistant: Excellent, mentoring others is great experience. What types of goals should we set for your next review period?', 'Employee: Learning new cuisines should be a goal for the next review period.', ""HR Assistant: Sounds like a very useful goal. Last question - on the 1 to 5 scale, how would you rate your contribution to team projects? And can you describe any skills or learning you've gained?"", 'Employee: I would rate my contribution to team projects as a 5. I have improved my cooking skills.']","[{'review_period': 'the past year'}, {'overall_performance_rating': '4'}, {'areas_for_improvement': 'time management', 'employee_name': 'Amir Khaled'}, {'goal_achievement': '4', 'additional_training_needed': 'pastry skills'}, {'leadership_qualities': 'I mentor junior chefs', 'job_role': 'chef'}, {'next_review_goals': 'Learning new cuisines'}, {'team_contribution': '5', 'skill_development': 'I have improved my cooking skills'}]"
6,access_request,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, what is the purpose of this access request?', 'Employee: The access request is required for my job responsibilities.', 'HR Assistant: Are there any other notes or details you want to include about this request?  ', 'Employee: No, there are no additional notes needed.', ""HR Assistant: How long do you think you'll need the access for? Could you give me an estimate in days, weeks or months? Also, please provide your contact info like your name, email and phone number."", 'Employee: I will need the access on an ongoing basis. My name is Amir Khaled, my email is amir.khaled@email.com and my phone number is +1-555-0345.  ', 'HR Assistant: What type of access are you looking to request? For example, is it system access, building access or document access? Do you have approval from your direct supervisor or another authorizing person? If so, who approved it?', 'Employee: I am requesting system access. John Smith approved the request.', 'HR Assistant: Do you have any current security clearance? Have you had access to these same resources or areas before in the past? If so, please provide some details.', 'Employee: My current security clearance level is 3. Yes, I had access approximately 3 years ago.', 'HR Assistant: Could you specify which exact resources or areas you need access to? Also, please provide your employee or user ID number.  ', 'Employee: I need access to the accounting software system. My employee ID number is AK230981.', 'HR Assistant: What level of access are you looking for? For example, is it full access, read-only or limited access?', 'Employee: I am looking for full access.']","[{'purpose_of_access': 'required for my job responsibilities'}, {'additional_notes': 'No, there are no additional notes needed'}, {'duration_of_access': 'ongoing basis', 'contact_information': 'Amir Khaled'}, {'access_type': 'system access', 'approval_from_supervisor': 'John Smith'}, {'security_clearance_status': '3', 'previous_access': 'Yes, I had access approximately 3 years ago'}, {'specific_resources_needed': 'accounting software system', 'user_identification': 'AK230981'}, {'required_access_level': 'full'}]"
7,relocation_request,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, I'm happy to help. Do you have any special transportation needs we should account for, like arranging for your vehicle to be shipped or booking your flight?  "", ""Employee: Yes, I'll need help arranging for my vehicle to be transported."", 'HR Assistant: Okay, thanks for letting me know. Are there any other specific requirements or accommodations we need to consider for your move?', ""Employee: No, I don't have any other special needs."", 'HR Assistant: Great. What type of housing would you like us to try and find for you at your new location? Something with a certain number of bedrooms maybe?', ""Employee: I'd like a 3 bedroom apartment please.  "", 'HR Assistant: No problem. Will you need packing and moving services as well? And how many people will be relocating with you?', 'Employee: Yes, full service packing and moving would be helpful. Three people total will be relocating.', ""HR Assistant: No problem, we'll take care of all that for you. Do you think you'll need any help finding a new job once you get to your new location, or will you be transferring within the company? Also, what is the main reason you're relocating? "", ""Employee: No employment assistance will be needed as I'm transferring jobs within the company. The primary reason for my relocation is a job transfer."", 'HR Assistant: Okay, thanks for sharing. Can you please provide your current location and destination location? I just need the city, state/province and country for each.', 'Employee: My current location is Miami, Florida, United States. My destination location is New York City, New York, United States.  ', 'HR Assistant: Great, thanks for letting me know. Is this relocation intended to be temporary or permanent? And what date would you like to complete the move?', ""Employee: The relocation will be permanent. I'm hoping to relocate by June 1st, 2023."", ""HR Assistant: Perfect, we'll do our best to accommodate that timeline. Lastly, can you please provide your contact details like name, email and phone number? And do you have a budget limit in mind for your relocation costs?"", 'Employee: My name is Sofia Alvarez, email is salvarez@lawfirm.com and there is no budget limit.']","[{'transportation_needs': ""Yes, I'll need help arranging for my vehicle to be transported""}, {'special_accommodations': ""No, I don't have any other special needs""}, {'housing_requirements': '3 bedroom apartment'}, {'packing_and_moving_services': 'Yes', 'number_of_relocating_individuals': 'Three'}, {'employment_assistance_needed': 'No', 'relocation_reason': 'job transfer'}, {'current_location': 'Miami, Florida, United States', 'destination_location': 'New York City'}, {'duration_of_relocation': 'permanent', 'desired_relocation_date': 'by June 1st, 2023'}, {'contact_details': 'Sofia Alvarez', 'budget_limitations': 'no budget limit'}]"
8,safety_incident_report,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, let me know what happened. Were there any other details you wanted to add about the situation?', 'Employee: No, there were no additional notes.', 'HR Assistant: Okay, no worries. What type of incident occurred exactly? Something like an injury, fire or hazardous spill?  ', 'Employee: It was a workplace injury.', 'HR Assistant: Got it. Can you provide me with your contact info so I have it on file? Your name, email and phone number will do.', 'Employee: My name is Carlos Mendez and my phone number is 555-0102.', 'HR Assistant: Thanks Carlos. What immediate steps did you take after it happened? Also, how many people were involved in the incident?', 'Employee: First aid was administered, and it affected one person.  ', 'HR Assistant: When did this all go down exactly? And were there any injuries as a result?', 'Employee: The date was 2023-02-15, and I sprained my ankle.', 'HR Assistant: Ouch, sorry to hear that. Was any equipment or property damaged in the incident?', 'Employee: No, there was no property damage.', 'HR Assistant: Last couple questions - where did this all happen and what time of day?', 'Employee: It occurred in the office at 10:00 AM.', 'HR Assistant: Almost done, just need to know how serious it was on a scale of minor to severe. Also, was anyone a witness?', 'Employee: It was moderate in severity and there were no witnesses.']","[{'additional_notes': 'No, there were no additional notes'}, {'incident_type': 'workplace injury'}, {'reporter_contact_info': 'Carlos Mendez'}, {'immediate_actions_taken': 'First aid', 'affected_individuals': 'one'}, {'incident_date': '2023-02-15', 'injuries_sustained': 'sprained my ankle'}, {'property_damage': 'No'}, {'incident_location': 'in the office', 'incident_time': '10:00 AM'}, {'severity_of_incident': 'moderate', 'witnesses': 'no witnesses'}]"
10,safety_incident_report,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: Oh no, I'm sorry to hear that. Can you tell me your name, email and phone number so I have your contact details? "", 'Employee: My name is Sofia Alvarez, my email is salvarez@lawfirm.com.', 'HR Assistant: Thanks Sofia. Were you hurt at all in the accident? If so, could you describe your injuries to me?', 'Employee: Yes, I sprained my ankle.', 'HR Assistant: I see, thanks for letting me know. What did you do right after it happened? Was there any property damage?', 'Employee: I got some first aid for my ankle. There was no property damage.  ', 'HR Assistant: Okay, thanks. What type of incident are you reporting - like a workplace injury, fire or hazardous spill? Also, how many people were involved?', 'Employee: It was a workplace injury and only I was affected.', 'HR Assistant: No problem. When exactly did it occur? Could you give me the date and time?', 'Employee: It occurred on February 15, 2023 at 10:30 AM.', 'HR Assistant: Got it. On a scale of minor to severe, how bad was the incident?  ', 'Employee: It was moderate.', 'HR Assistant: Were there any witnesses to what happened? Or were you alone at the time?', 'Employee: No, there were no witnesses. ', 'HR Assistant: One last thing - is there anything else you want to add? Also, could you tell me where exactly it took place?', ""Employee: We need better floor mats in the office. That's where it happened.""]","[{'reporter_contact_info': 'Sofia Alvarez'}, {'injuries_sustained': 'sprained my ankle'}, {'immediate_actions_taken': 'first aid', 'property_damage': 'no'}, {'incident_type': 'workplace injury', 'affected_individuals': 'only I was affected'}, {'incident_date': 'February 15, 2023', 'incident_time': '10:30 AM'}, {'severity_of_incident': 'moderate'}, {'witnesses': 'No, there were no witnesses'}, {'additional_notes': 'We need better floor mats in the office', 'incident_location': 'the office'}]"
11,time_off_report,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, I'm happy to help. How many days total will you be taking off?  "", ""Employee: I'll be taking 8 days of vacation leave."", 'HR Assistant: Okay, great. What type of time off are you looking to use - vacation, sick leave, or a personal day?', ""Employee: I'd like to use my vacation days."", 'HR Assistant: No problem. Will you be available at all during your time away or will you be completely unreachable?', ""Employee: I'll have limited availability via email."", ""HR Assistant: That's understandable. Is there any particular reason you're taking the time off? You don't have to provide details if you'd rather keep it private. Also, is there anything else I should know about the request?"", ""Employee: It's just a planned vacation. There's nothing else to note."", 'HR Assistant: Perfect. Before I submit this, could you provide an email address I can use as an emergency contact?', 'Employee: You can use my work email.', ""HR Assistant: Almost done! Have you arranged for coverage of your job duties while you're gone?"", 'Employee: Yes, my coworkers have agreed to cover for me.  ', 'HR Assistant: Great, thanks. Last couple questions - when will your vacation end so I have an return date? Also, have you taken any other time off recently I should be aware of?', 'Employee: My vacation will end on June 22nd, 2023. I have not taken any other time off lately.', ""HR Assistant: Perfect, just one last thing - when does your vacation start? I'll need a start date to complete the request."", 'Employee: My vacation will start on June 15th, 2023.']","[{'total_days_off': '8'}, {'type_of_time_off': 'vacation'}, {'contact_availability': 'limited availability'}, {'reason_for_time_off': 'planned vacation', 'additional_notes': 'nothing else to note'}, {'emergency_contact_info': 'You can use my work email'}, {'work_handover_details': 'my coworkers'}, {'end_date': 'June 22nd, 2023', 'previous_time_off': 'June 22nd, 2023'}, {'start_date': 'June 15th, 2023'}]"
14,time_off_report,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, when were you thinking of starting your time away? And have you found folks to cover for you while you're gone?"", ""Employee: I'm looking to start my vacation on June 1st, 2023. My coworkers have agreed to take on my responsibilities in my absence.  "", 'HR Assistant: Got it. What kind of break are you hoping to take - vacation, sick leave, personal day?  ', 'Employee: I would like to request vacation time off.', 'HR Assistant: Okay, great. Can I get your email in case anything comes up? Also, how many days total will you be out of the office?', 'Employee: You can reach me by email only. I will be taking 15 days off.', ""HR Assistant: No worries. Is there anything else I should know about your time off? Also, is there a reason you're taking the time, or is it just for rest and relaxation? You don't have to say if you'd rather keep it private."", 'Employee: There is no other information needed. I am taking this time to relax and recharge.', ""HR Assistant: That's totally understandable - we all need a break sometimes. Will you have any availability just in case something comes up, or do you plan to be fully disconnected? Also, have you had any other time off recently I should be aware of?  "", 'Employee: I will have limited availability during my vacation. I have not taken any other time off recently.', 'HR Assistant: Almost there - when do you plan to return to work?', 'Employee: I will return to work on June 15th, 2023.']","[{'start_date': 'June 1st, 2023', 'work_handover_details': 'My coworkers'}, {'type_of_time_off': 'vacation'}, {'emergency_contact_info': 'email', 'total_days_off': '15'}, {'additional_notes': 'no other information needed', 'reason_for_time_off': 'I am taking this time to relax and recharge'}, {'contact_availability': 'limited', 'previous_time_off': 'I have not taken any other time off recently'}, {'end_date': 'June 15th, 2023'}]"
17,time_off_report,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['HR Assistant: No problem, when does your time off end? I want to make sure I have all the details correct.', 'Employee: My time off will end on June 15th, 2023.', ""HR Assistant: Okay, got it. Have you taken any other time recently? If so, could you let me know the details? Also, have you arranged for someone to cover your work while you're gone?"", 'Employee: I have not taken any recent leave. John will cover my responsibilities.  ', ""HR Assistant: Great, thanks for letting me know. One last thing, what's the best way to contact you in case of an emergency? Also, when does this time off period start?"", 'Employee: You can contact me by email only. My time off will start on June 1st, 2023.', 'HR Assistant: No problem. How many total days will you be taking off?', 'Employee: I will be taking 15 days off.', 'HR Assistant: Almost done! What type of time off are you requesting - vacation, sick leave, personal day? Also, will you be available at all during your time off in case we need to reach you?', 'Employee: I am requesting vacation leave. I will have limited availability during my time off.', ""HR Assistant: Okay, just one more question. What is the reason for your time off? You don't have to provide one, but it may be needed for certain types of leave. Also, is there any other information you need to include?"", 'Employee: The reason for my time off is a family trip. There is no additional information to include.']","[{'end_date': 'June 15th, 2023'}, {'previous_time_off': 'I have not taken any recent leave', 'work_handover_details': 'John will cover my responsibilities'}, {'emergency_contact_info': 'email', 'start_date': 'June 1st, 2023'}, {'total_days_off': '15'}, {'type_of_time_off': 'vacation leave', 'contact_availability': 'limited'}, {'reason_for_time_off': 'a family trip', 'additional_notes': 'no'}]"
22,benefits_enrollment,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[""HR Assistant: No problem, let me know which plan you'd like to choose - just let me know the plan code like Plan A or Plan B. I also just want to double check that we have your current contact info on file, is that all updated?"", ""Employee: Yes, it's all updated. I'd like to go with Plan A."", 'HR Assistant: Great, what kind of benefit are you looking to enroll in specifically? Something like health insurance, dental, etc.?  ', ""Employee: I'm interested in enrolling in health insurance."", ""HR Assistant: No problem. If you don't mind me asking, about how long have you had health coverage before? Just need a number of years."", ""Employee: I've had health coverage for 10 years."", ""HR Assistant: Thanks for letting me know. Do you have a rough idea of what your annual premium budget might be? Also, do you have a date in mind for when you'd like the coverage to start?"", ""Employee: My estimated annual premium budget is $5,000. I'm hoping to start the coverage on March 1st, 2023."", 'HR Assistant: Perfect, thanks for providing that information. Last question - would you prefer if I contacted you by email, phone or mail going forward? Also, how many other people would you like to add to the plan?', ""Employee: Email is best for contacting me. I'd like to add 2 dependents to the plan as well.""]","[{'benefit_plan_selection': 'Plan A', 'personal_information_confirmation': 'Yes'}, {'type_of_benefit': 'health insurance'}, {'previous_coverage_duration': '10'}, {'estimated_annual_premium': '$5,000', 'effective_date': 'March 1st, 2023'}, {'contact_preference': 'Email', 'number_of_dependents': '2'}]"
